,Unnamed: 0,id,text,source,user_id,truncated,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,retweeted_status_id,geo,place,contributors,retweet_count,reply_count,favorite_count,favorited,retweeted,possibly_sensitive,num_hashtags,num_urls,num_mentions,created_at,timestamp,crawled_at,updated,knownbot
0,0,593932392663912449,"RT @morningJewshow: Speaking about Jews and comedy tonight at Temple Emanu-El in San Francisco. In other words, my High Holidays.","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iÎS</a>",678033.0,,0.0,0.0,,5.939321685245338e+17,,,,1.0,0.0,0.0,,,,0.0,0.0,1.0,Fri May 01 00:18:11 +0000 2015,2015-05-01 02:18:11,2015-05-01 12:57:19,2015-05-01 12:57:19,0
1,1,593895316719423488,This age/face recognition thing..no reason platforms can't have changing avatars of our actual faces to increase affect/better communication,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,Thu Apr 30 21:50:52 +0000 2015,2015-04-30 23:50:52,2015-05-01 12:57:19,2015-05-01 12:57:19,0
2,2,593880638069018624,Only upside of the moment I can think of is that network news hasn't booked their #Baltimore panels with Bill Cosby.#fb,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,2.0,0.0,0.0,Thu Apr 30 20:52:32 +0000 2015,2015-04-30 22:52:32,2015-05-01 12:57:19,2015-05-01 12:57:19,0
3,3,593847955536252928,If you're going to think about+create experiences then you need a broad knowledge of what the human experience is. #peopleoverinterfaces #UX,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iÎS</a>",678033.0,,0.0,0.0,,0.0,,,,2.0,0.0,1.0,,,,2.0,0.0,0.0,Thu Apr 30 18:42:40 +0000 2015,2015-04-30 20:42:40,2015-05-01 12:57:19,2015-05-01 12:57:19,0
4,4,593847687847350272,Watching a thread on FB about possible future of UX speaker and crowd suggestions seem 96%white American dudes. Dream broadly people.,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iÎS</a>",678033.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,Thu Apr 30 18:41:36 +0000 2015,2015-04-30 20:41:36,2015-05-01 12:57:19,2015-05-01 12:57:19,0
5,5,593819412660101121,Don't. Ok? https://t.co/uTXrJ6zvdN,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",678033.0,,0.0,0.0,,0.0,,,,0.0,0.0,1.0,,,,0.0,1.0,0.0,Thu Apr 30 16:49:15 +0000 2015,2015-04-30 18:49:15,2015-05-01 12:57:19,2015-05-01 12:57:19,0
6,6,593814612820119552,"RT @SanFranciscoBA: #enoughsenough ""Surprise! Woody Allenâs new film is about a young girlâs romance with a much older man."" =&gt; http://t.coâ¦","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iÎS</a>",678033.0,,0.0,0.0,,5.93808590269354e+17,,,,1.0,0.0,0.0,,,,1.0,1.0,1.0,Thu Apr 30 16:30:10 +0000 2015,2015-04-30 18:30:10,2015-05-01 12:57:19,2015-05-01 12:57:19,0
7,7,593750651449905152,"RT @thepatrickwalsh: Kriss Kross once rapped ""some of them try to rhyme but they can't rhyme like this,"" then rhymed ""jump"" with ""jump"" forâ¦","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iÎS</a>",678033.0,,0.0,0.0,,5.936633836494193e+17,,,,49.0,0.0,0.0,,,,0.0,0.0,1.0,Thu Apr 30 12:16:01 +0000 2015,2015-04-30 14:16:01,2015-05-01 12:57:19,2015-05-01 12:57:19,0
8,8,593750427792867329,RT @TheAtlanticPOL: Watch Baltimore native @tanehisicoates speak on Race in America @JohnsHopkins this morning at 10:30. Livestream here: hâ¦,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iÎS</a>",678033.0,,0.0,0.0,,5.937348828760965e+17,,,,231.0,0.0,0.0,,,,0.0,1.0,3.0,Thu Apr 30 12:15:07 +0000 2015,2015-04-30 14:15:07,2015-05-01 12:57:19,2015-05-01 12:57:19,0
9,9,593742580774371329,@thelancearthur @hotdogsladies I didn't realize anyone has ever made it to dessert there.,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iÎS</a>",678033.0,,5.936419015399956e+17,143569237.0,thelancearthur,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,2.0,Thu Apr 30 11:43:57 +0000 2015,2015-04-30 13:43:57,2015-05-01 12:57:19,2015-05-01 12:57:19,0
10,10,593659318479687680,RT @sippey: Here's my one paragraph review of the new MacBook. https://t.co/vUcQgXQJEG,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033.0,,0.0,0.0,,5.934603437262111e+17,,,,11.0,0.0,0.0,,,,0.0,1.0,1.0,Thu Apr 30 06:13:05 +0000 2015,2015-04-30 08:13:05,2015-05-01 12:57:19,2015-05-01 12:57:19,0
11,11,593654865689124865,@wkamaubell I stand by you. I don't want men telling me what's sexist either People are the experts on their own experience.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033.0,,5.936490658474271e+17,19119809.0,wkamaubell,0.0,,,,0.0,0.0,2.0,,,,0.0,0.0,1.0,Thu Apr 30 05:55:24 +0000 2015,2015-04-30 07:55:24,2015-05-01 12:57:19,2015-05-01 12:57:19,0
12,12,593584377218473984,@frogtosser Thank you Becca.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033.0,,0.0,14249445.0,frogtosser,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,1.0,Thu Apr 30 01:15:18 +0000 2015,2015-04-30 03:15:18,2015-05-01 12:57:19,2015-05-01 12:57:19,0
13,13,593579247110782976,"@MMFlint I dont' ask for RTs gen, but my friend @frakintosh is a Columbine survivor who needs to finally get therapy http://t.co/SRbhQ3nweH","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033.0,,0.0,20479813.0,MMFlint,0.0,,,,0.0,0.0,0.0,,,,0.0,1.0,2.0,Thu Apr 30 00:54:55 +0000 2015,2015-04-30 02:54:55,2015-05-01 12:57:19,2015-05-01 12:57:19,0
14,14,593578595370438657,"Not only$ but acts+messages from people that say ""you're still here, you matter.""Pls tell @frakintosh u care. http://t.co/SRbhQ3nweH  #PTSD","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,1.0,1.0,1.0,Thu Apr 30 00:52:19 +0000 2015,2015-04-30 02:52:19,2015-05-01 12:57:19,2015-05-01 12:57:19,0
15,15,593578251722690560,To live with untreated PTSD is to feel like you might die any moment. Again and again. Help costs money. http://t.co/SRbhQ3nweH#fb,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033.0,,0.0,0.0,,0.0,,,,1.0,0.0,0.0,,,,1.0,1.0,0.0,Thu Apr 30 00:50:58 +0000 2015,2015-04-30 02:50:58,2015-05-01 12:57:19,2015-05-01 12:57:19,0
16,16,593578041936220160,@frakintosh is also a Columbine survivor. Miles away from the big news coverage he is still struggling. http://t.co/SRbhQ3nweH#fb,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033.0,,0.0,20729466.0,frakintosh,0.0,,,,0.0,0.0,0.0,,,,1.0,1.0,1.0,Thu Apr 30 00:50:08 +0000 2015,2015-04-30 02:50:08,2015-05-01 12:57:19,2015-05-01 12:57:19,0
